author,gender
"Fisher, David E., 1932-",X
"Lennox, Charlotte, 1729?-1804",X
"Westall, William, 1835?-1903",X
"Burney, Fanny, 1752-1840",X
"Cunningham, H. S. (Henry Stewart), Sir, 1832-1920",X
"Heyward, DuBose, 1885-1940",X
"Winter, John Strange, 1856-1911",X
"Abdullah, Achmed, 1881-1945",X
"Bagg, Helen",X
"Post, Melville Davisson, 1869-1930",X
"Stephens, Ann S. (Ann Sophia), 1810-1886",X
"Tarkington, Booth, 1869-1946 [Contributor]",X
"Nesbit, E. (Edith), 1858-1924",X
"Willis, Herbert [Contributor]",X
"Brownell, W. C. (William Crary), 1851-1928 [Author of introduction, etc.]",X
"Bade, William L., 1928-2005",X
"Fenwick, E. (Eliza), 1766-1840",X
"Graham, Stephen, 1884-1975 [Translator]",X
"Groves, J. Percy (John Percy)",X
"De Forest, John William, 1826-1906",X
"Bedford-Jones, H. (Henry), 1887-1949",X
"Riddle, A. G. (Albert Gallatin), 1816-1902",X
"Driggs, Howard R. (Howard Roscoe), 1873-1963",X
"Reymont, Władysław Stanisław, 1867-1925",X
"Lawson, Thomas William, 1857-1925",X
"Stearns, Charles A.",X
"Powys, John Cowper, 1872-1963",X
"Bingham, Edfrid A.",X
"Whiteside, Stanley",X
"Townshend, R. B. (Richard Baxter), 1846-1923",X
"Disraeli, Benjamin, Earl of Beaconsfield, 1804-1881",X
"Dodge, Louis, 1870-1952",X
"Preston, Sydney Herman, 1858-1931",X
"Maude, Louise, 1855-1939 [Translator]",X
"Crockett, S. R. (Samuel Rutherford), 1860-1914 [Contributor]",X
"Howdershelt, Ed",X
"Calhoun, Frances Boyd, 1867-1909",X
"Southey, Robert, 1774-1843 [Translator]",X
"Cherbuliez, Victor, 1829-1899",X
"Alcock, Deborah, 1835-1913",X
"Douglas, Amanda M., 1831-1916",X
"Boyd, E. E., Mrs.",X
"Sampson, Emma Speed, 1868-1947",X
"Aubrey, Frank, 1847-1927",X
"Dell, Floyd, 1887-1969",X
"Fletcher, Samuel",X
"Marx, Magdeleine, 1889-1973",X
"Arnold, Herbert [Translator]",X
"Morris, Margaretta [Editor]",X
"Lee, Vernon, 1856-1935",X
"Schnitzler, Arthur, 1862-1931",X
"Trollope, Anthony, 1815-1882",X
"Whitelaw, David, 1875-1970",X
"Hoffmann, E. T. A. (Ernst Theodor Amadeus), 1776-1822",X
"Mitford, Mary Russell, 1787-1855",X
"Sternberg, Levi [Translator]",X
"Savigny, Annie G. (Annie Gregg), -1901",X
"Hardy, Thomas, 1840-1928 [Contributor]",X
"Harland, Henry, 1861-1905",X
"Holcroft, Thomas, 1745-1809",X
"Knipe, Emilie Benson, 1870-1958",X
"Goldsmith, Milton, 1861-1957",X
"Ball, Eustace Hale, 1881-1931",X
"King, Charles, 1844-1933",X
"Markham, Clements R. (Clements Robert), Sir, 1830-1916 [Editor]",X
